2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,Pos,Rk,STL,TOV,TRB,Tm,eFG%,player_key
5.4,0.628,8.6,0.9,0.347,2.5,3.0,27.0,0.8,4.1,6.3,0.564,11.2,2.8,0.608,4.6,68.0,68.0,30.2,2.4,1.9,16.3,Aaron Gordon,PF,169.0,0.8,1.4,6.6,DEN,0.603,aaron gordon
0.9,0.424,2.1,0.6,0.409,1.4,1.4,26.0,0.2,0.8,1.5,0.418,3.5,0.4,0.844,0.5,63.0,6.0,13.4,0.4,1.3,3.9,Aaron Holiday,PG,213.0,0.6,0.6,1.2,ATL,0.5,aaron holiday
1.9,0.496,3.8,1.6,0.366,4.3,1.3,23.0,0.5,2.9,3.5,0.427,8.1,1.6,0.838,1.9,73.0,60.0,24.9,0.8,3.2,10.1,Aaron Nesmith,SF,358.0,0.8,1.0,3.8,IND,0.525,aaron nesmith
2.0,0.573,3.4,0.7,0.393,1.7,1.1,24.0,0.2,2.0,2.7,0.512,5.2,0.8,0.831,1.0,70.0,14.0,18.5,1.0,1.6,6.8,Aaron Wiggins,SG,512.0,0.6,0.8,3.0,OKC,0.579,aaron wiggins
0.8,0.646,1.3,0.6,0.324,2.0,0.8,25.0,0.1,1.1,1.5,0.451,3.3,0.6,0.913,0.6,37.0,0.0,12.2,0.6,1.6,4.2,Admiral Schofield,PF,433.0,0.2,0.4,1.7,ORL,0.549,admiral schofield
2.0,0.536,3.8,1.4,0.39,3.6,1.0,19.0,0.2,1.6,3.4,0.465,7.4,0.6,0.894,0.7,72.0,12.0,19.5,0.5,1.2,8.9,AJ Griffin,SF,182.0,0.6,0.6,2.1,ATL,0.56,aj griffin
1.3,0.539,2.4,2.3,0.446,5.2,3.0,36.0,1.0,5.0,3.6,0.476,7.6,0.2,0.714,0.3,63.0,63.0,30.5,1.2,1.9,9.8,Al Horford,C,217.0,0.5,0.6,6.2,BOS,0.627,al horford
2.0,0.459,4.3,1.9,0.414,4.7,2.2,31.0,0.2,2.7,3.9,0.436,9.0,3.0,0.814,3.7,51.0,8.0,22.0,0.4,1.9,12.8,Alec Burks,SG,72.0,0.7,1.1,3.1,DET,0.544,alec burks
2.1,0.483,4.3,1.1,0.365,3.1,1.9,21.0,1.3,3.4,3.2,0.434,7.3,0.6,0.629,1.0,34.0,25.0,20.6,1.3,1.7,8.1,Aleksej Pokusevski,PF,387.0,0.6,1.3,4.7,OKC,0.51,aleksej pokusevski
1.1,0.556,2.0,0.8,0.364,2.3,2.9,28.0,0.7,2.3,1.9,0.455,4.3,0.9,0.808,1.1,67.0,36.0,23.5,0.6,2.4,5.6,Alex Caruso,PG,86.0,1.5,1.1,2.9,CHI,0.551,alex caruso
