Season,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2010-11,13.0,,6.0,22.0,1.0,29.0,4.0,9.0,24.0,20.0,14.0,19.0,23.0,4.0,11.0,3.0,21.0,30.0,25.0,11.0,,15.0,7.0,8.0,16.0,17.0,10.0,25.0,2.0,28.0,18.0,27.0
2011-12,8.0,,10.0,30.0,1.0,27.0,13.0,11.0,22.0,23.0,17.0,5.0,8.0,6.0,6.0,4.0,19.0,21.0,25.0,27.0,,13.0,3.0,12.0,16.0,18.0,20.0,25.0,1.0,23.0,13.0,29.0
2012-13,14.0,9.0,16.0,29.0,11.0,28.0,17.0,4.0,23.0,10.0,11.0,8.0,5.0,11.0,5.0,1.0,18.0,22.0,,26.0,,7.0,2.0,30.0,19.0,27.0,21.0,25.0,3.0,19.0,15.0,23.0
2013-14,18.0,14.0,26.0,16.0,11.0,22.0,10.0,20.0,23.0,8.0,5.0,4.0,3.0,25.0,9.0,5.0,30.0,17.0,,,21.0,19.0,2.0,28.0,29.0,11.0,5.0,24.0,1.0,11.0,26.0,14.0
2014-15,2.0,18.0,16.0,22.0,9.0,7.0,9.0,24.0,23.0,1.0,3.0,18.0,3.0,27.0,5.0,21.0,15.0,30.0,,,13.0,29.0,13.0,26.0,28.0,17.0,8.0,25.0,5.0,11.0,18.0,12.0
2015-16,7.0,28.0,7.0,7.0,14.0,3.0,14.0,21.0,12.0,1.0,17.0,11.0,6.0,29.0,14.0,7.0,21.0,26.0,,,25.0,24.0,5.0,20.0,30.0,27.0,12.0,21.0,2.0,4.0,19.0,17.0
2016-17,11.0,30.0,4.0,20.0,15.0,5.0,22.0,18.0,19.0,1.0,3.0,13.0,5.0,28.0,11.0,15.0,13.0,24.0,,,21.0,24.0,10.0,26.0,27.0,29.0,15.0,23.0,2.0,5.0,5.0,9.0
2017-18,27.0,23.0,4.0,20.0,24.0,6.0,27.0,14.0,19.0,3.0,1.0,8.0,18.0,21.0,29.0,15.0,15.0,12.0,,,8.0,22.0,8.0,26.0,5.0,30.0,7.0,24.0,12.0,2.0,8.0,17.0
2018-19,26.0,14.0,9.0,17.0,27.0,28.0,22.0,4.0,16.0,3.0,5.0,11.0,11.0,20.0,22.0,17.0,1.0,21.0,,,22.0,30.0,9.0,14.0,7.0,28.0,5.0,17.0,11.0,2.0,8.0,25.0
2019-20,27.0,14.0,5.0,22.0,24.0,29.0,13.0,6.0,26.0,30.0,8.0,7.0,4.0,3.0,16.0,11.0,1.0,28.0,,,21.0,25.0,8.0,18.0,12.0,16.0,15.0,20.0,19.0,2.0,8.0,23.0
2020-21,11.0,4.0,16.0,19.0,21.0,26.0,8.0,5.0,29.0,14.0,30.0,17.0,5.0,8.0,15.0,13.0,7.0,25.0,,,21.0,11.0,26.0,28.0,3.0,2.0,8.0,21.0,19.0,24.0,1.0,17.0
2021-22,16.0,14.0,6.0,16.0,12.0,14.0,5.0,10.0,28.0,3.0,30.0,26.0,18.0,23.0,2.0,3.0,6.0,12.0,,,20.0,19.0,27.0,29.0,6.0,1.0,25.0,24.0,22.0,10.0,9.0,21.0
2022-23,17.0,9.0,2.0,27.0,19.0,5.0,21.0,4.0,30.0,11.0,28.0,23.0,11.0,14.0,5.0,11.0,1.0,15.0,,,15.0,8.0,19.0,25.0,3.0,9.0,26.0,7.0,28.0,17.0,22.0,23.0
2023-24,21.0,22.0,1.0,27.0,20.0,11.0,6.0,2.0,30.0,16.0,19.0,12.0,5.0,12.0,24.0,16.0,8.0,4.0,,,8.0,6.0,2.0,12.0,12.0,8.0,27.0,16.0,26.0,25.0,23.0,29.0
